SKU,QTY,Cost
ASHCA10348,1.0,2.312654
ASHCA10516,1.0,2.749539
ASHCA10626,1.0,5.41
ASHCA10755,5.0,2.197021
ASHCA11048,5.0,5.32
ASHCA3373,4.0,1.8
ASHCA3559,1.0,1.82
ASHCA3660,4.0,1.92
ASHCA3901,6.0,2.55
ASHCA4524,1.0,4.096703
ASHCA7344,1.0,2.489535
ASHCA7432,4.0,2.045545
ASHCA7440,11.0,1.93039
ASHCA8606,1.0,3.07
ASHCA8747,3.0,2.002481
ASHCA8817,11.0,2.39
ASHCA9053,1.0,2.636596
ASHCA9054,16.0,2.16
ASHCA9778,3.0,4.057656
ASHCA9838,6.0,2.9925
ASHCA9900,3.0,17.2
ASHCA9953,1.0,4.49
ASHCF10360,5.0,3.32
ASHCF10729,3.0,1.357405
ASHCF10747,5.0,1.295167
ASHCF11183,3.0,1.208639
ASHCF9597,1.0,3.75
ASHCH001S,3.0,123.616444
ASHCH10955,11.0,1.241014
ASHCH5976EUR,1.0,5.17
ASHCH822106A,1.0,60.49
ASHCH9584,1.0,2.41
ASHD1037,1.0,4.78
ASHD1053,1.0,8.83
ASHD1056,2.0,13.949797
ASHD1058,3.0,9.453286
ASHD1059,6.0,10.861095
ASHD1080,2.0,9.170311
ASHD1087,2.0,12.0
ASHD1149,1.0,12.51012
ASHD1273,6.0,11.8
ASHD1326,1.0,11.43
ASHD1498,2.0,13.57
ASHD1589,3.0,14.01
ASHD1811,1.0,11.58
ASHD203,1.0,25.65
ASHD591,6.0,9.227688
ASHD650,1.0,9.14
ASHD666,2.0,12.17
ASHD751,2.0,13.33
ASHD784,1.0,17.84
ASHD785,2.0,14.007914
ASHD790,3.0,10.866962
ASHD791,3.0,7.292108
ASHD858,2.0,12.193993
ASHD866,2.0,6.593559
ASHD868,3.0,6.874136
ASHD869,2.0,10.176311
ASHD945,4.0,13.17
ASHD981,2.0,10.932545
ASHD997,3.0,7.77323
ASHD998,1.0,8.74
ASHDS1238,9.0,17.816638
ASHDS1310,2.0,16.068428
ASHEM2947,1.0,21.27824
ASHES3095,1.0,4.35
ASHES3096,2.0,5.04
ASHES3173,2.0,4.004961
ASHES3474,4.0,9.32
ASHES3475,5.0,6.237442
ASHES3537,9.0,3.496421
ASHES3571,3.0,5.34
ASHES3614,6.0,5.96
ASHES3624,4.0,7.159176
ASHES800594,3.0,4.707534
ASHEV80645,8.0,3.6
ASHEV80702,6.0,3.36
ASHFO-ECO120,1.0,3.77
ASHFT1039,5.0,3.88
ASHFT1122,7.0,4.46
ASHFT1214,2.0,5.42
ASHFT1222,3.0,9.2
ASHFT1223A,4.0,8.95
ASHFT1231A,2.0,6.41
ASHFT1236,2.0,6.5
ASHFT1240,1.0,6.392873
ASHG11296,1.0,3.838978
